graph,algo,diameter,bfs_count,chosenvtx, weightp, time_diameter_exact,sx,sy
cl_n=50000_deg=10_ple=2.4_seed=55,ifub_foursweephd,9,9,0,-1, 776.517,-1,-1
cl_n=50000_deg=10_ple=2.4_seed=55,ifub_hd,9,5,0,-1, 282.04,-1,-1
cl_n=50000_deg=10_ple=2.4_seed=64,ifub_foursweephd,9,9,0,-1, 537.438,-1,-1
cl_n=50000_deg=10_ple=2.4_seed=64,ifub_hd,9,5,0,-1, 260.75,-1,-1
cl_n=50000_deg=10_ple=2.4_seed=666,ifub_foursweephd,10,8,0,-1, 721.034,-1,-1
cl_n=50000_deg=10_ple=2.4_seed=666,ifub_hd,10,4,0,-1, 114.989,-1,-1
cl_n=50000_deg=10_ple=2.4_seed=836,ifub_foursweephd,10,9,0,-1, 510.128,-1,-1
cl_n=50000_deg=10_ple=2.4_seed=836,ifub_hd,10,5,0,-1, 196.9,-1,-1
cl_n=50000_deg=10_ple=25.0_seed=1001,ifub_hd,8,31657,5566,-1, 340831,-1,-1
cl_n=50000_deg=10_ple=25.0_seed=1001,ifub_foursweephd,8,39385,259,-1, 1.03651e+06,-1,-1
cl_n=50000_deg=10_ple=25.0_seed=14,ifub_hd,8,27318,6671,-1, 1.07547e+06,-1,-1
cl_n=50000_deg=10_ple=25.0_seed=14,ifub_foursweephd,8,38282,2606,-1, 1.20374e+06,-1,-1
cl_n=50000_deg=10_ple=25.0_seed=237,ifub_hd,8,26504,0,-1, 1.17587e+06,-1,-1
cl_n=50000_deg=10_ple=25.0_seed=237,ifub_foursweephd,8,37394,3,-1, 1.18195e+06,-1,-1
cl_n=50000_deg=10_ple=25.0_seed=2,ifub_foursweephd,8,39312,361,-1, 808263,-1,-1
cl_n=50000_deg=10_ple=25.0_seed=2,ifub_hd,8,26728,20390,-1, 921186,-1,-1
cl_n=50000_deg=10_ple=25.0_seed=321,ifub_hd,8,27836,4476,-1, 1.19043e+06,-1,-1
cl_n=50000_deg=10_ple=25.0_seed=321,ifub_foursweephd,8,37037,81,-1, 1.22663e+06,-1,-1
cl_n=50000_deg=10_ple=25.0_seed=356,ifub_hd,8,26539,5326,-1, 1.06966e+06,-1,-1
cl_n=50000_deg=10_ple=25.0_seed=356,ifub_foursweephd,8,37696,6389,-1, 1.24123e+06,-1,-1
cl_n=50000_deg=10_ple=25.0_seed=489,ifub_hd,8,28096,2119,-1, 563164,-1,-1
cl_n=50000_deg=10_ple=25.0_seed=489,ifub_foursweephd,8,32565,222,-1, 932493,-1,-1
cl_n=50000_deg=10_ple=25.0_seed=55,ifub_hd,8,27538,12471,-1, 696375,-1,-1
cl_n=50000_deg=10_ple=25.0_seed=55,ifub_foursweephd,8,39326,5769,-1, 1.1619e+06,-1,-1
cl_n=50000_deg=10_ple=25.0_seed=64,ifub_foursweephd,8,40905,2407,-1, 799284,-1,-1
cl_n=50000_deg=10_ple=25.0_seed=64,ifub_hd,8,27167,4477,-1, 1.11004e+06,-1,-1
cl_n=50000_deg=10_ple=25.0_seed=666,ifub_hd,8,28840,27682,-1, 635023,-1,-1
cl_n=50000_deg=10_ple=25.0_seed=666,ifub_foursweephd,8,38510,43,-1, 1.2201e+06,-1,-1
cl_n=50000_deg=10_ple=25.0_seed=836,ifub_hd,8,25066,22458,-1, 646142,-1,-1
cl_n=50000_deg=10_ple=25.0_seed=836,ifub_foursweephd,8,38773,359,-1, 1.2378e+06,-1,-1
cl_n=50000_deg=10_ple=2.55_seed=1001,ifub_foursweephd,9,9,0,-1, 614.897,-1,-1
cl_n=50000_deg=10_ple=2.55_seed=1001,ifub_hd,9,5,0,-1, 294.727,-1,-1
cl_n=50000_deg=10_ple=2.55_seed=14,ifub_foursweephd,8,7,0,-1, 639.34,-1,-1
cl_n=50000_deg=10_ple=2.55_seed=14,ifub_hd,8,3,0,-1, 154.53,-1,-1
cl_n=50000_deg=10_ple=2.55_seed=237,ifub_foursweephd,8,6,0,-1, 513.62,-1,-1
cl_n=50000_deg=10_ple=2.55_seed=237,ifub_hd,8,2,0,-1, 3.98641,-1,-1
cl_n=50000_deg=10_ple=2.55_seed=2,ifub_foursweephd,9,9,0,-1, 661.729,-1,-1
cl_n=50000_deg=10_ple=2.55_seed=2,ifub_hd,9,5,0,-1, 178.681,-1,-1
cl_n=50000_deg=10_ple=2.55_seed=321,ifub_foursweephd,9,8,0,-1, 742.494,-1,-1
cl_n=50000_deg=10_ple=2.55_seed=321,ifub_hd,9,4,0,-1, 294.042,-1,-1
cl_n=50000_deg=10_ple=2.55_seed=356,ifub_foursweephd,9,9,0,-1, 669.14,-1,-1
cl_n=50000_deg=10_ple=2.55_seed=356,ifub_hd,9,5,0,-1, 234.728,-1,-1
cl_n=50000_deg=10_ple=2.55_seed=489,ifub_foursweephd,9,7,0,-1, 765.598,-1,-1
cl_n=50000_deg=10_ple=2.55_seed=489,ifub_hd,9,3,0,-1, 158.05,-1,-1
cl_n=50000_deg=10_ple=2.55_seed=55,ifub_foursweephd,9,13,0,-1, 915.158,-1,-1
cl_n=50000_deg=10_ple=2.55_seed=55,ifub_hd,9,9,0,-1, 710.142,-1,-1
cl_n=50000_deg=10_ple=2.55_seed=64,ifub_foursweephd,8,6,0,-1, 326.378,-1,-1
cl_n=50000_deg=10_ple=2.55_seed=64,ifub_hd,8,2,0,-1, 112.016,-1,-1
cl_n=50000_deg=10_ple=2.55_seed=666,ifub_foursweephd,9,9,0,-1, 553.782,-1,-1
cl_n=50000_deg=10_ple=2.55_seed=666,ifub_hd,9,5,0,-1, 297.208,-1,-1
cl_n=50000_deg=10_ple=2.55_seed=836,ifub_foursweephd,9,10,1,-1, 938.568,-1,-1
cl_n=50000_deg=10_ple=2.55_seed=836,ifub_hd,9,5,0,-1, 164.574,-1,-1
cl_n=50000_deg=10_ple=2.75_seed=1001,ifub_foursweephd,8,9,0,-1, 853.834,-1,-1
cl_n=50000_deg=10_ple=2.75_seed=1001,ifub_hd,8,5,0,-1, 362.065,-1,-1
cl_n=50000_deg=10_ple=2.75_seed=14,ifub_foursweephd,9,9,0,-1, 902.494,-1,-1
cl_n=50000_deg=10_ple=2.75_seed=14,ifub_hd,9,5,0,-1, 420.036,-1,-1
