graph,algo,diameter,bfs_count,startvtx_degree,startvtx_ecc,time_diameter_exact
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=252_square,q3,25,37,32,15,3811.59
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=252_square,q4,25,306,183,17,20285.3
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=252_square,q5,25,6,1046,13,340.586
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=321,ifub_foursweephd,21,18,1573,11,279.777
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=321,ifub_hd,21,14,1573,11,111.639
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=321,random,21,158,20,13,12947.3
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=321,q1,21,56,1,12,4891.28
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=321,q2,21,204,6,13,20899.4
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=321,q3,21,56,39,12,3027.7
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=321,q4,21,55,249,12,3090.78
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=321,q5,21,14,1573,11,588.656
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=321_square,ifub_foursweephd,30,6,295,15,615.138
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=321_square,ifub_hd,30,14,1571,17,246.811
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=321_square,random,30,131,17,20,5346.08
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=321_square,q1,30,24,1,18,623.587
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=321_square,q2,30,65,6,19,7517.78
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=321_square,q3,30,24,39,18,1113.49
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=321_square,q4,30,15,251,17,1301.51
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=321_square,q5,30,14,1571,17,411.658
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=34121,ifub_foursweephd,20,10,575,11,51.1176
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=34121,ifub_hd,20,3,1543,11,25.2999
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=34121,random,20,34,52,12,384.432
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=34121,q1,20,20,1,12,234.533
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=34121,q2,20,94,6,13,2915.46
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=34121,q3,20,20,39,12,1140.06
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=34121,q4,20,68,247,12,1646.95
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=34121,q5,20,3,1543,11,140.997
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=34121_square,ifub_foursweephd,24,6,357,12,426.789
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=34121_square,ifub_hd,24,19,1488,14,183.863
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=34121_square,random,24,287,10,17,21940.7
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=34121_square,q1,24,58,1,15,5171.92
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=34121_square,q2,24,205,6,16,20302.6
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=34121_square,q3,24,58,38,15,2464.02
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=34121_square,q4,24,7,239,13,311.779
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=34121_square,q5,24,19,1488,14,164.412
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=356,ifub_foursweephd,19,10,1484,10,2906.29
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=356,ifub_hd,19,6,1484,10,420.724
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=356,random,19,3538,14,14,437028
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=356,q1,19,22,1,11,1535.27
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=356,q2,19,61,6,12,6223.43
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=356,q3,19,22,38,11,394.299
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=356,q4,19,19,241,11,949.172
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=356,q5,19,6,1484,10,1059.23
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=356_square,ifub_foursweephd,23,7,1469,12,663.025
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=356_square,ifub_hd,23,3,1469,12,136.789
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=356_square,random,23,304,5,15,2005.72
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=356_square,q1,23,7,1,13,61.3067
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=356_square,q2,23,22,6,14,2007.33
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=356_square,q3,23,7,38,13,970.342
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=356_square,q4,23,7,240,13,701.954
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=356_square,q5,23,3,1469,12,63.1751
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=489,ifub_foursweephd,23,7,396,12,177.696
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=489,ifub_hd,23,4,1551,12,26.5408
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=489,random,23,17,4,15,4978.78
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=489,q1,23,10,1,13,82.0944
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=489,q2,23,10,6,13,1038.2
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=489,q3,23,10,39,13,1365.58
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=489,q4,23,11,250,14,859.415
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=489,q5,23,4,1551,12,363.291
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=489_square,ifub_foursweephd,24,6,1515,12,709.873
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=489_square,ifub_hd,24,2,1515,12,101.854
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=489_square,random,24,89,25,15,378.392
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=489_square,q1,24,30,1,14,281.218
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=489_square,q2,24,30,6,14,2870.68
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=489_square,q3,24,30,38,14,973.049
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=489_square,q4,24,16,250,15,812.952
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=489_square,q5,24,2,1515,12,69.9274
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=64,ifub_foursweephd,21,12,1523,11,201.986
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=64,ifub_hd,21,8,1523,11,580.976
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=64,random,21,12274,2,16,766186
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=64,q1,21,88,1,13,6014.6
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=64,q2,21,106,6,12,2161.36
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=64,q3,21,44,39,12,2488.21
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=64,q4,21,66,248,12,2232.22
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=64,q5,21,8,1523,11,448.008
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=64_square,ifub_foursweephd,32,6,313,16,52.389
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=64_square,ifub_hd,32,4,1503,17,117.629
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=64_square,random,32,7,8,17,89.7778
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=64_square,q1,32,13,1,18,1161.16
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=64_square,q2,32,16,6,18,206.423
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=64_square,q3,32,13,38,18,1400.85
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=64_square,q4,32,299,243,21,12831.9
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=64_square,q5,32,4,1503,17,165.63
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=836,ifub_foursweephd,21,7,1647,11,580.034
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=836,ifub_hd,21,3,1647,11,17.9596
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=836,random,21,76,8,14,715.596
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=836,q1,21,7,1,12,70.3744
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=836,q2,21,22,6,13,1493.47
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=836,q3,21,22,40,13,1767.16
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=836,q4,21,6,264,12,754.824
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=836,q5,21,3,1647,11,669.299
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=836_square,ifub_foursweephd,26,6,613,13,875.546
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=836_square,ifub_hd,26,4,1063,14,446.132
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=836_square,random,26,99,6,17,9742.88
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=836_square,q1,26,16,1,16,178.727
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=836_square,q2,26,42,5,17,2524.05
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=836_square,q3,26,42,32,17,1877.7
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=836_square,q4,26,16,190,16,685.482
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.0_seed=836_square,q5,26,4,1063,14,104.976
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=2323,ifub_foursweephd,18,6,675,9,121.958
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=2323,ifub_hd,18,4,1598,10,146.617
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=2323,random,18,47,21,11,760.781
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=2323,q1,18,10,1,11,130.541
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=2323,q2,18,7,6,11,417.003
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=2323,q3,18,8,39,11,742.307
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=2323,q4,18,6,252,10,119.723
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=2323,q5,18,4,1598,10,255.335
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=2323_square,ifub_foursweephd,23,8,859,12,332.019
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=2323_square,ifub_hd,23,11,1243,13,101.612
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=2323_square,random,23,687,6,17,34557.3
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=2323_square,q1,23,12,1,13,151.766
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=2323_square,q2,23,12,5,13,1150.19
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=2323_square,q3,23,12,35,13,517.579
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=2323_square,q4,23,17,212,15,1757.73
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=2323_square,q5,23,11,1243,13,420.431
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=252,ifub_foursweephd,15,17,1490,8,2367.58
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=252,ifub_hd,15,13,1490,8,539.296
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=252,random,15,105,15,9,9122.85
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=252,q1,15,162,1,10,30464.5
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=252,q2,15,162,6,10,30520.5
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=252,q3,15,146,38,10,17898.9
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=252,q4,15,61,239,9,3521.29
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=252,q5,15,13,1490,8,472.088
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=252_square,ifub_foursweephd,19,7,799,10,297.187
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=252_square,ifub_hd,19,4,1049,11,330.896
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=252_square,random,19,1549,6,14,98497.3
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=252_square,q1,19,27,1,12,685.251
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=252_square,q2,19,8,5,11,1639.19
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=252_square,q3,19,8,32,11,459.964
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=252_square,q4,19,7,185,11,299.936
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=252_square,q5,19,4,1049,11,91.4599
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=321,ifub_foursweephd,17,7,946,9,403.74
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=321,ifub_hd,17,3,1561,9,279.06
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=321,random,17,1020,26,11,50518
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=321,q1,17,53,1,10,597.83
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=321,q2,17,53,6,10,1439.44
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=321,q3,17,22,39,10,1641.15
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=321,q4,17,41,249,10,1933.96
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=321,q5,17,3,1561,9,223.748
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=321_square,ifub_foursweephd,20,9,934,11,599.619
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=321_square,ifub_hd,20,5,1589,11,335.485
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=321_square,random,20,926,11,15,73874.9
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=321_square,q1,20,17,1,12,1269.78
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=321_square,q2,20,17,6,12,1230.07
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=321_square,q3,20,17,39,12,897.358
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=321_square,q4,20,12,251,12,392.968
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=321_square,q5,20,5,1589,11,112.64
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=34121,ifub_foursweephd,17,7,1494,9,493.905
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=34121,ifub_hd,17,3,1494,9,26.8157
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=34121,random,17,362,22,12,46359.2
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=34121,q1,17,19,1,11,466.809
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=34121,q2,17,19,6,11,247.164
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=34121,q3,17,6,38,10,537.447
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=34121,q4,17,39,240,10,1412.55
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=34121,q5,17,3,1494,9,79.0787
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=34121_square,ifub_foursweephd,19,19,1115,11,2838.61
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=34121_square,ifub_hd,19,57,1416,12,2897.53
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=34121_square,random,19,2801,8,14,218048
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=34121_square,q1,19,271,1,13,40867.1
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=34121_square,q2,19,271,6,13,18342.7
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=34121_square,q3,19,223,37,13,16246.8
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=34121_square,q4,19,938,233,14,57824.7
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=34121_square,q5,19,57,1416,12,2105.02
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=356,ifub_foursweephd,15,15,1475,8,732.32
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=356,ifub_hd,15,11,1475,8,83.5336
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=356,random,15,2519,7,11,203927
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=356,q1,15,78,1,9,5174.04
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=356,q2,15,70,6,9,3234.88
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=356,q3,15,212,38,10,14311.7
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=356,q4,15,159,243,9,7797.73
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=356,q5,15,11,1475,8,2887.08
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=356_square,ifub_foursweephd,21,9,793,11,242.481
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=356_square,ifub_hd,21,7,1500,12,65.4958
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=356_square,random,21,140,5,14,4591.59
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=356_square,q1,21,11,1,12,1363.01
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=356_square,q2,21,11,6,12,166.818
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=356_square,q3,21,7,38,12,834.215
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=356_square,q4,21,17,241,13,1489.72
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=356_square,q5,21,7,1500,12,282.539
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=489,ifub_foursweephd,16,8,720,9,1117.75
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=489,ifub_hd,16,4,1524,9,141.489
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=489,random,16,2034,4,13,158661
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=489,q1,16,13,1,10,1215.25
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=489,q2,16,8,6,10,127.522
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=489,q3,16,8,39,10,455.034
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=489,q4,16,11,245,10,823.842
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=489,q5,16,4,1524,9,98.5465
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=489_square,ifub_foursweephd,22,6,790,11,213.841
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=489_square,ifub_hd,22,5,1516,13,44.1036
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=489_square,random,22,393,4,17,30881.1
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=489_square,q1,22,12,1,14,450.864
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=489_square,q2,22,15,6,13,2102.49
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=489_square,q3,22,9,38,13,921.296
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=489_square,q4,22,6,243,13,1185.7
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=489_square,q5,22,5,1516,13,234.768
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=64,ifub_foursweephd,16,19,1517,8,830.136
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=64,ifub_hd,16,15,1517,8,777.484
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=64,random,0,0,1800
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=64,q1,16,17,1,10,2850.47
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=64,q2,16,17,6,10,1563.53
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=64,q3,16,17,38,10,1060
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=64,q4,16,7,245,9,589.935
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=64,q5,16,15,1517,8,419.183
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=64_square,ifub_foursweephd,21,9,1496,11,61.7057
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=64_square,ifub_hd,21,5,1496,11,203.469
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=64_square,random,21,150,17,13,22229.7
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=64_square,q1,0,0,1800
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=64_square,q2,21,27,6,13,389.101
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=64_square,q3,21,27,38,13,1439.62
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=64_square,q4,21,15,241,12,75.2259
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=64_square,q5,21,5,1496,11,1318.27
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=836,ifub_foursweephd,14,11,1578,8,1520.51
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=836,ifub_hd,14,7,1578,8,703.408
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=836,random,14,1171,15,10,110775
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=836,q1,14,68,1,9,1220.36
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=836,q2,14,303,6,10,34922.4
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=836,q3,14,303,39,10,22004.3
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=836,q4,14,80,251,9,3271.09
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=836,q5,14,7,1578,8,506.2
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=836_square,ifub_foursweephd,25,7,298,13,552.893
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=836_square,ifub_hd,25,4,1067,14,178.152
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=836_square,random,25,9,5,17,397.412
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=836_square,q1,25,5,1,15,699.668
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=836_square,q2,25,5,5,15,1364.33
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=836_square,q3,25,5,32,15,377.419
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=836_square,q4,25,7,186,16,423.158
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.4_seed=836_square,q5,25,4,1067,14,893.923
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.53_seed=2323,ifub_foursweephd,14,19,170,9,2349.55
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.53_seed=2323,ifub_hd,14,5,1534,8,381.547
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.53_seed=2323,random,14,372,9,10,23073.9
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.53_seed=2323,q1,14,42,1,9,1919.96
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.53_seed=2323,q2,14,42,6,9,448.023
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.53_seed=2323,q3,14,15,39,9,1943.82
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.53_seed=2323,q4,14,12,247,9,1564.89
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.53_seed=2323,q5,14,5,1534,8,158.118
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.53_seed=2323_square,ifub_foursweephd,17,53,864,9,9172.76
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.53_seed=2323_square,ifub_hd,17,18,1191,9,2659.32
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.53_seed=2323_square,random,17,3317,11,13,313168
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.53_seed=2323_square,q1,17,983,1,11,103684
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.53_seed=2323_square,q2,17,413,5,10,57368.5
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.53_seed=2323_square,q3,17,412,34,10,36503.2
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.53_seed=2323_square,q4,17,173,203,10,12783.6
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.53_seed=2323_square,q5,17,18,1191,9,681.12
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.53_seed=252,ifub_foursweephd,14,6,828,7,86.8178
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.53_seed=252,ifub_hd,14,3,1462,8,379.543
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.53_seed=252,random,14,1068,9,10,6300.15
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.53_seed=252,q1,14,10,1,9,1039.19
girgbig_n=100000_deg=10_dim=2_ple=3.01_T=0.53_seed=252,q2,14,10,6,9,1426.85
