graph,algo,diameter,bfs_count,startvtx_degree,startvtx_ecc,time_diameter_exact
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=34121_square,ifub_foursweephd,13,7,15029,7,555.363
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=34121_square,ifub_hd,13,3,15029,7,285.311
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=34121_square,random,13,13,1,8,103.265
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=34121_square,q1,13,8,1,8,72.024
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=34121_square,q2,13,8,11,8,765.688
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=34121_square,q3,13,7,122,8,222.368
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=34121_square,q4,13,5,1361,7,219.818
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=34121_square,q5,13,3,15029,7,61.353
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=356,ifub_foursweephd,11,8,24741,6,573.99
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=356,ifub_hd,11,4,24741,6,11.6187
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=356,random,11,16,11,7,1869.44
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=356,q1,11,17,1,7,1190.33
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=356,q2,11,17,12,7,332.572
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=356,q3,11,15,157,7,1476.33
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=356,q4,11,9,1994,6,1548.38
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=356,q5,11,4,24741,6,327.88
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=356_square,ifub_foursweephd,14,6,2423,7,365.483
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=356_square,ifub_hd,14,3,20405,8,23.4907
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=356_square,random,14,5,2,9,33.5033
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=356_square,q1,14,9,1,10,89.9268
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=356_square,q2,14,6,11,9,119.756
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=356_square,q3,14,4,142,9,15.4907
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=356_square,q4,14,3,1761,8,383.321
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=356_square,q5,14,3,20405,8,161.591
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=489,ifub_foursweephd,13,7,25048,7,135.408
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=489,ifub_hd,13,3,25048,7,333.692
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=489,random,13,7,1,8,648.138
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=489,q1,13,7,1,8,35.2791
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=489,q2,13,7,12,8,40.781
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=489,q3,13,5,158,8,18.2619
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=489,q4,13,4,2015,7,649.416
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=489,q5,13,3,25048,7,394.03
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=489_square,ifub_foursweephd,13,8,18670,7,262.351
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=489_square,ifub_hd,13,4,18670,7,26.1916
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=489_square,random,13,23,10,8,3861.89
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=489_square,q1,13,59,1,9,4156.1
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=489_square,q2,13,24,11,9,2072.54
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=489_square,q3,13,8,136,8,36.0292
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=489_square,q4,13,5,1604,7,514.914
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=489_square,q5,13,4,18670,7,585.777
